iter	Passed	Remaining
0	58	29169
1	60	15073
2	62	10374
3	64	8011
4	66	6590
5	68	5637
6	70	4968
7	72	4451
8	74	4041
9	75	3717
10	77	3446
11	79	3227
12	81	3041
13	82	2876
14	84	2743
15	86	2621
16	88	2511
17	90	2412
18	91	2325
19	93	2243
20	95	2173
21	97	2110
22	98	2049
23	100	1995
24	102	1944
25	104	1899
26	105	1855
27	107	1813
28	109	1777
29	111	1744
30	113	1713
31	115	1682
32	116	1653
33	118	1625
34	120	1598
35	121	1572
36	123	1547
37	126	1532
38	127	1510
39	129	1489
40	131	1468
41	132	1450
42	134	1433
43	136	1419
44	138	1405
45	141	1392
46	142	1377
47	145	1369
48	147	1356
49	149	1344
50	151	1333
51	153	1319
52	154	1306
53	156	1295
54	158	1282
55	160	1271
56	162	1260
57	164	1250
58	165	1239
59	167	1229
60	169	1221
61	171	1211
62	173	1202
63	175	1195
64	177	1186
65	179	1178
66	181	1170
67	182	1162
68	185	1155
69	186	1147
70	188	1139
71	190	1130
72	192	1123
73	193	1116
74	195	1109
75	197	1102
76	199	1097
77	201	1090
78	203	1085
79	205	1077
80	207	1071
81	209	1066
82	211	1062
83	213	1055
84	215	1049
85	216	1044
86	218	1038
87	220	1033
88	222	1027
89	224	1020
90	225	1014
91	227	1009
92	229	1004
93	231	999
94	233	994
95	235	989
96	236	984
97	238	979
98	240	973
99	242	969
100	244	965
101	246	960
102	247	955
103	249	950
104	251	945
105	253	941
106	255	936
107	256	932
108	258	927
109	260	923
110	262	920
111	264	915
112	266	911
113	267	906
114	269	902
115	271	898
116	273	894
117	275	891
118	277	887
119	279	883
120	280	879
121	282	875
122	285	873
123	286	870
124	288	866
125	290	862
126	292	859
127	294	856
128	296	852
129	298	848
130	299	844
131	301	841
132	303	837
133	305	834
134	307	831
135	309	828
136	311	824
137	313	821
138	315	818
139	317	816
140	320	816
141	322	813
142	324	809
143	326	806
144	328	803
145	329	800
146	331	797
147	333	793
148	335	790
149	337	787
150	339	784
151	342	783
152	344	781
153	346	777
154	348	776
155	350	773
156	352	770
157	354	767
158	356	764
159	358	761
160	360	758
161	362	755
162	363	752
163	365	749
164	367	746
165	369	743
166	371	740
167	372	737
168	374	734
169	376	731
170	378	728
171	380	725
172	382	722
173	384	719
174	386	717
175	388	714
176	389	711
177	391	708
178	393	705
179	395	702
